observationId,dancerId,siteNo,hiveNo,sampY,sampM,sampD,sampT,waggleDuration,waggleLength,waggleOrientation,waggleDirection,pollenColor,pollenAbundance
1287,35672,1,8,2019,7,11,13,0.31,,-0.862127171,3.775536299,,
997,74999,2,8,2019,5,15,13,1.95,,-0.261708823,3.354788065,,
1536,24817,6,20,2019,3,9,12,1.423,,-2.234026667,4.864990234,,
811,67161,1,8,2018,4,29,15,1.31,,1.06218424,2.805089235,,
1538,76266,6,20,2019,3,9,12,2.12,,-2.583093333,5.260896206,,
999,65547,2,8,2019,5,15,13,2.15,,-0.021819295,3.136295557,,
1540,85754,6,20,2019,3,9,12,1.416,,-5.65488,8.36764431,,
1108,54536,1,8,2019,7,11,12,1.35,,1.952041179,0.244096503,,
1542,21935,6,20,2019,3,9,12,1.076,,-1.588253333,4.329535961,,
1001,33959,2,8,2019,5,15,13,2.32,,-0.030584008,3.159334421,,
1544,86623,6,20,2019,3,9,12,1.756,,-1.535893333,4.298873901,,
813,73282,1,8,2018,4,29,15,1.51,,1.52902503,2.367486238,,
1546,78594,6,20,2019,3,9,12,2.097,,-2.652906667,5.437840462,,
1003,36914,2,8,2019,5,15,13,2.6,,-0.010289274,3.074884415,,
1548,44736,6,20,2019,3,9,12,0.279,,-0.20944,3.091474771,,
1062,89489,1,8,2019,7,10,14,1,,-0.754019246,4.005719185,,
1550,26661,6,20,2019,3,9,12,1.661,,-1.692973333,4.61087656,,
1005,91896,2,8,2019,5,15,14,2,,0.555921946,2.867902517,,
1552,32845,6,20,2019,3,9,12,1.875,,-2.740173333,5.397375107,,
815,28884,1,8,2018,4,29,15,1.63,,1.567410088,2.352994204,,
1554,86339,6,20,2019,3,9,12,2.036,,-1.448626667,4.17942524,,
1007,76479,2,8,2019,5,15,14,2.35,,-0.001929981,3.446056128,,
1556,29466,6,20,2019,3,9,12,1.097,,-2.391106667,5.027500153,,
1110,42443,1,8,2019,7,11,12,1.52,,1.873197735,0.327220976,,
1558,12767,6,20,2019,3,9,12,1.621,,-2.076946667,4.72424221,,
1009,49632,2,8,2019,5,15,14,2.3,,0.190861163,3.266714334,,
1560,72784,6,20,2019,3,9,12,2.111,,-0.907573333,3.565826416,,
817,95164,1,8,2018,4,29,15,1.26,,0.49100417,3.434128046,,
1562,12751,6,20,2019,3,9,12,0.428,,-2.164213333,4.833479404,,
1011,74382,2,8,2019,5,15,14,2,,0.034275179,3.436678648,,
1564,55342,6,20,2019,3,9,12,1.112,,-5.724693333,8.399486542,,
1018,13311,1,8,2019,7,10,13,0.8,,2.946056907,-0.055802952,,
1566,82647,6,20,2019,3,9,12,1.641,,-1.902413333,4.593869209,,
1016,78638,2,8,2019,5,15,14,2.26,,0.590041413,2.914034367,,
1017,79558,2,8,2019,5,15,14,2.12,,0.605209443,2.931500912,,
1019,75328,1,8,2019,7,10,13,0.83,,-0.517310733,3.55961442,,
1023,33863,1,8,2019,7,10,13,0.52,,-0.458463837,3.493049145,,
1031,27278,1,8,2019,7,10,13,2.13,,-3.023744719,6.042919636,,
1047,26623,1,8,2019,7,10,13,1.1,,-0.528427512,3.570731163,,
1079,62732,1,8,2019,7,11,12,1.09,,2.254828288,0.031230761,,
1143,12334,1,8,2019,7,11,12,1.05,,2.501442417,-0.131208315,,
884,15541,1,8,2019,4,30,12,1.5,,-0.00147075,2.879889488,,
1691,38997,6,20,2019,5,2,13,0.944,,-4.258613333,7.258586884,,
